бермудские острова	l21546
сылва	c21738
карагай	c21739
калинино	c40207
верх-иньва	c40206
чернушка	c20679
агафонково	c59890
филипповка	c42492
калиновка	c59939
етыш	c59938
октябрьский	c20252
частые	c21994
юго-камский	c21997
деменево	c59934
буб	c59883
ермия	c59936
краснокамск	c11109
эрна	c60005
кудымкар	c11076
чердынь	c20588
чусовой	c20712
гайны	c21990
большая соснова	c21991
добрянка	c21992
лысьва	c20244
кунгур	c20250
берёзовка	c21995
уинское	c21996
пермь	c50
фабрика северный коммунар	c21998
есаул	c59937
александровск	c20653
ананьино	c59930
усолье	c20590
архангельское	c60063
соликамск	c11110
углеуральский	c73018
ошья	c59824
чайковский	c20243
очер	c20247
оса	c20246
нытва	c21989
суксун	c21742
куеда	c21987
барда	c21986
красновишерск	c20249
губаха	c20248
бершеть	c21999
всеволодо-вильва	c73007
шадейка	c42508
усть-игум	c42509
ленск	c42506
суда	c59910
белоево	c42500
верещагино	c20634
кизел	c20635
бырма	c40205
ашап	c40204
березники	c20237
новые ляды	c73093
кын	c42512
яйва	c42510
култаево	c42517
кукуштан	c42516
новый ашап	c59967
гремячинск	c20626
горнозаводск	c20628
паль	c59867
троица	c26420
березники	c85158
красный восход	c69875
кузнечиха	c59864
республика хакасия	r11340
черногорск	c11342
шира	c11343
саяногорск	c11341
балыкса	c63909
новомихайловка	c63905
летник	c63904
очуры	c63907
новороссийское	c63906
кирба	c63920
краснополье	c63903
кирово	c63902
устинкино	c63943
сарала	c63942
первомайское	c63928
бискамжа	c42315
подсинее	c42314
верх-аскиз	c42316
таштып	c22998
бея	c22995
копьево	c22997
боград	c22996
усть-чуль	c63917
московское	c63950
посёлок аскиз	c22993
соленоозерное	c63962
усть-камышта	c63916
аршаново	c63899
райков	c63951
борец	c63957
ташеба	c63954
чарков	c63955
коммунар	c39502
пригорск	c43823
пуланколь	c63914
абакан	c1095
матур	c63947
бондарево	c63918
калы	c63919
сарагаш	c63930
кызлас	c63912
сонское	c63932
ербинская	c67274
вершино-биджа	c67273
полтаков	c63913
абаза	c11339
бирикчуль	c63911
сон	c63963
бельтирское	c63910
новокурск	c63921
весеннее	c63948
усть-есь	c63915
село аскиз	c85991
малые арбаты	c63946
советская хакасия	c63931
доможаков	c63949
троицкое	c63933
знаменка	c63927
большая ерба	c63926
табат	c63925
сабинка	c63924
имек	c63945
большой монок	c67272
сорск	c20083
белый яр	c22994
майна	c23291
вершина теи	c23290
жемчужный	c63961
черемушки	c23292
черное озеро	c63967
целинное	c63966
пушное	c63929
туим	c63964
ставропольский край	r11069
стародубское	c43442
рыздвяный	c43435
тищенское	c53945
московское	c43433
новкус-артезиан	c53965
новотроицкая	c53940
михайловск	c26352
николо-александровское	c53846
иргаклы	c53900
прасковея	c43440
соломенское	c53904
галюгаевская	c53826
чернолесское	c53871
железноводск	c11058
зеленокумск	c11059
татарка	c43432
солнечнодольск	c26591
георгиевск	c11056
ессентуки	c11057
благодарный	c11054
будённовск	c11055
орловка	c53803
подгорная	c53993
лысогорская	c43444
грачевка	c26430
горячеводский	c43860
безопасное	c53967
иноземцево	c43864
нефтекумск	c20655
кочубеевское	c22810
курская	c22811
левокумское	c22812
курсавка	c22813
донское	c22814
раздольное	c53859
летняя cтавка	c20232
ставрополь	c36
стодеревская	c53836
гофицкое	c53875
александровское	c20238
дивное	c20239
минеральные воды	c11063
кисловодск	c11062
ипатово	c11061
изобильный	c11060
пятигорск	c11067
новопавловск	c11066
новоалександровск	c11065
невинномысск	c11064
петропавловское	c53973
светлоград	c11068
затеречный	c53959
ачикулак	c53958
русское	c53834
серноводское	c53835
незлобная	c43445
каменная балка	c85266
труновское	c53971
суворовская	c43422
горнозаводское	c43402
кугульта	c43400
верхнестепной	c26376
степное	c20241
новоселицкое	c20240
александрийская	c43443
артезианский	c53864
благодатное	c53873
арзгир	c26429
круглолесское	c53737
птичье	c53943
зольская	c26592
марьинская	c53801
расшеватская	c53860
советская	c53805
красногвардейское	c22808
лермонтов	c20261
пролетарский	c53831
ярославская область	r10841
шестихино	c22061
нагорье	c22060
константиново	c22063
середа	c22062
глебово	c51896
лом	c51898
заячий холм	c51777
диево-городище	c51834
ильинское-урусово	c51778
курба	c51977
великое	c85965
кубринск	c26205
константиновский	c42926
ананьино	c51970
гаврилов-ям	c20257
филиппово	c51874
семибратово	c42923
семеновское	c51851
глебовское	c85149
иванищево	c51973
охотино	c51811
кормилицино	c51975
козьмодемьянск	c51974
заволжье	c42928
медягино	c51978
углич	c10840
ярославль	c16
пошехонье	c20596
новый некоуз	c22058
любим	c20592
варегово	c65858
большое село	c22054
брейтово	c22055
некрасовское	c22056
пречистое	c22057
петровское	c22051
красный профинтерн	c22052
борисоглебский	c22053
пестрецово	c42935
глебовское	c51946
коза	c51846
красный бор	c85999
мокеевское	c51980
ишня	c42922
прусово	c51982
назарово	c51900
ширинье	c51986
тутаев	c21154
песочное	c51901
кукобой	c51847
туношна	c42936
красные ткачи	c42931
рождествено	c85148
каменники	c42918
никульское	c51962
бурмакино	c42913
ям	c42938
шопша	c51788
искра октября	c42917
рыбинск	c10839
ростов великий	c10838
переславль-залесский	c10837
мышкин	c10836
данилов	c10835
щедрино	c42937
архангельская область	r10842
пертоминск	c41893
летняя золотица	c41892
исаковская	c68494
красноборск	c21853
сольвычегодск	c21852
долматово	c85988
карпогоры	c22915
новодвинск	c20117
ручьи	c41895
мезень	c20114
брин-наволок	c54332
лопшеньга	c41894
заболотье	c54335
копачево	c54337
рочегда	c54136
гридинская	c54132
вельск	c10843
няндома	c20602
олема	c54204
ценогора	c54207
савинский	c43482
зелёный бор	c43481
койнас	c54203
вилегодск	c54121
никольск	c54122
борки	c54399
широкий прилук	c54128
сия	c85053
емца	c54291
ломовое	c54295
вожгора	c54199
долгощелье	c54211
мосеево	c54217
каменка	c54214
сояна	c54219
сафоново	c54218
сосновый	c54119
ненокса	c21843
верхняя тойма	c21846
конево	c21847
черевково	c21845
емецк	c21848
ильинско-подомское	c21849
кулой	c21688
малошуйка	c21689
почтовое	c54345
вычегодский	c21686
коноша	c21687
малая товра	c54341
архангельск	c20
верхняя сергиевская	c54186
обозерский	c26464
усть-кожа	c54256
игумновская	c54107
зеленник	c54106
мирный	c11436
двинской	c54104
железнодорожная станция виледь	c85112
авнюгский	c54101
лешуконское	c21851
яренск	c21850
койда	c41891
березник	c21463
североонежск	c21692
урдома	c21691
приводино	c21690
уйта	c68505
усть-вага	c68506
солза	c72976
верхнее шилово	c54178
луковецкий	c85431
шеговары	c85990
сия	c54278
федотовская	c54406
кизема	c26446
октябрьский	c20724
шипицыно	c54409
шожма	c66011
куша	c54243
порог	c54249
пушлахта	c68605
патракеевка	c68603
беломорье	c54410
верхняя золотица	c54413
нижняя золотица	c54417
шелоховская	c54153
соловки	c21125
пинега	c10848
северодвинск	c10849
плесецк	c21043
тамица	c54254
котлас	c10846
онега	c10847
каргополь	c10844
коряжма	c10845
холмогоры	c10850
лепша	c66008
большая товра	c68571
юрятинская	c68570
зачачье	c68573
шидрово	c54141
хетово	c54140
федово	c54307
шенкурск	c10851
ядриха	c68597
ивановская область	r10687
мугреево-никольское	c52666
хотимль	c52672
илья-высоково	c52631
затеиха	c52630
дунилово	c52652
новинки	c85044
заволжск	c22384
лежнево	c22385
лух	c22386
палех	c22387
пустошь	c52659
заречный	c42977
верхний ландех	c22383
вичуга	c10688
кинешма	c10689
комсомольск	c20610
плес	c22389
пучеж	c20613
седельницы	c52699
родники	c20659
котово	c52605
кунестино	c52624
куликово	c52590
шуя	c10691
кохма	c10690
слободки	c52608
гаврилов посад	c20597
симаково	c52746
мыт	c52745
писцово	c42993
каменка	c52724
старая вичуга	c40767
пеньки	c52614
новописцово	c52728
порздни	c52606
бережок	c52700
горки-чириковы	c52621
новоклязьминское	c52668
преображенское	c52669
савино	c22391
приволжск	c22390
груздево	c52664
воздвиженье	c52577
китово	c52654
долматовский	c52579
пестяки	c22388
синяя осока	c52640
юрьевец	c10692
иваново	c5
южа	c20648
богданиха	c42979
фурманов	c20682
богородское	c42980
филисово	c52689
наволоки	c24448
ильинское-хованское	c27032
решма	c40768
малаховский	c40769
жажлево	c52581
есиплево	c52580
колшево	c52582
чернореченский	c42990
лесное	c73064
тейково	c20229
краснодарский край	r10995
казанская	c42071
березанская	c42072
ирклиевская	c42073
армавир	c10987
апшеронск	c10986
кухаривка	c45785
кисляковка	c45544
витязево	c10989
белореченск	c10988
ейское укрепление	c45664
бейсужек второй	c65493
цыпка	c45661
аше	c85147
усть-лабинск	c20693
николаевка	c45668
пластуновская	c41976
крыловская	c23241
куликовский	c45572
холмская	c22935
порт-кавказ	c22934
попутная	c22933
белая глина	c22931
ахтырский	c22930
бейсуг	c45834
зарождение	c41973
приморско-ахтарск	c11000
тихорецк	c11002
джубга	c21479
новоплатнировская	c45573
кривенковское	c42020
моревка	c45786
брюховецкая	c22919
кореновск	c20688
бжид	c85412
суворовское	c45778
тенгинская	c45779
адлер	c85275
новомихайловский	c40749
коржевский	c41985
ивановская	c41984
марьянская	c41987
новолабинская	c45776
платнировская	c41983
камышеватская	c45782
новоминская	c45802
динская	c20264
первая синюха	c45560
пшада	c43983
молькино	c43987
темрюк	c20677
гулькевичи	c20675
новолеушковская	c26474
новощербиновская	c26475
краснодар	c35
архипо-осиповка	c28440
афипский	c65455
канеловская	c65457
ильский	c65456
хадыженск	c24464
курганинск	c20702
калининская	c26219
славянск-на-кубани	c20704
выселки	c26217
шаумян	c45662
глафировка	c45663
рязанская	c45691
псебай	c21313
спокойная	c45595
подгорная	c45592
агой	c42017
украинский	c45456
дефановка	c42018
индюк	c42019
лабинск	c21018
сириус	c85332
шабельское	c45669
михайловская	c39855
варениковская	c26618
кисляковская	c39857
благовещенская	c26616
саратовская	c44027
сочи	c239
новороссийск	c970
тимашевск	c21141
адагум	c45508
туапсе	c1058
георгиевское	c39494
темиргоевская	c42002
воронежская	c42057
кубанский	c42008
лоо	c73078
надежная	c45588
ейск	c10993
ширванская	c45429
старотитаровская	c26440
верхнебаканский	c36318
анапа	c1107
трудобеликовский	c41992
петропавловская	c45533
ловлинская	c45638
советская	c42037
кабардинка	c41967
мостовской	c21030
успенское	c26221
полтавская	c26220
кирпильская	c42059
терновская	c45794
тамань	c42053
воздвиженская	c45525
кущёвская	c22921
великовечное	c42029
агроном	c41971
ленинградская	c20230
новокубанск	c20231
небуг	c42023
лермонтово	c42022
шепси	c42027
каневская	c21129
крепостная	c45728
пригородный	c42025
старолеушковская	c45610
газырь	c45836
голубицкая	c42048
анастасиевская	c42043
анапская	c43931
ереминская	c45556
вознесенская	c45554
бетта	c43938
дивноморское	c43939
абинск	c20183
лазаревское	c10998
стародеревянковская	c26424
курчанская	c26548
приреченский	c45847
геленджик	c10990
горячий ключ	c10991
дагомыс	c10992
отрадо-кубанское	c65489
красная поляна	c10994
ильич	c26428
кропоткин	c10996
крымск	c10997
бесскорбная	c45710
ольгинка	c45658
новопокровская	c22923
отрадная	c22924
павловская	c22925
северская	c22926
староминская	c22927
старощербиновская	c22928
тбилисская	c22929
переясловская	c41969
эсто-садок	c73086
мессажай	c45655
кирпичное	c45654
амурская область	r11375
богородское	c56181
дмитриевка	c56182
михайловка	c85211
каховка	c69163
новобурейский	c26658
ерофей павлович	c21699
грязнушка	c56277
бомнак	c21186
волково	c56274
серышево	c11388
некрасовка	c56322
лермонтовка	c56259
арга	c66199
гильчин	c69175
береговой	c56160
михайловка	c56279
ромны	c11386
свободный	c11387
кундур	c56147
райчихинск	c11385
магдагачи	c11382
новокиевский увал	c11383
ивановка	c11380
константиновка	c11381
тахтамыгда	c56255
старая райчиха	c56332
уруша	c56256
горный	c56163
благовещенск	c77
сковородино	c11389
нижние бузули	c56299
олёкма	c26663
мадалан	c66200
циолковский	c39511
новотроицкое	c85209
варваровка	c56209
муравьевка	c56261
черемхово	c56192
зея	c11379
завитинск	c11378
успеновка	c85200
талакан	c20242
архара	c11373
усть-ивановка	c26661
томичи	c26660
екатеринославка	c11377
поярково	c11384
бурея	c11376
белоярово	c56202
лазаревка	c69177
семиозерка	c69152
прогресс	c26273
соловьевск	c56343
светиловка	c56326
тыгда	c43752
возжаевка	c43753
дмитриевка	c85201
белогорск	c11374
февральск	c22549
гродеково	c56276
октябрьский	c56171
тында	c11391
тамбовка	c11390
шимановск	c11392
хвойный	c56178
широкий лог	c56247
новотроицкое	c56199
большой невер	c56249
раздольное	c56264
лозовое	c56260
ключи	c56195
ушумун	c56289
норск	c56230
антоновка	c85174
великокнязевка	c69187
сиваки	c56287
экимчан	c22550
тюменская область	r11176
усово	c47588
сетово	c47465
большие ярки	c47419
архангельское	c47405
кировский	c47409
первомайский	c47569
черная	c47630
заречный	c47565
большой карагай	c47563
лесное	c47488
новый тап	c47489
чикча	c47482
яр	c47483
созоново	c47480
бушуево	c47485
вагай	c23000
ламенский	c47595
поселок челюскинцев	c65534
рассвет	c47413
ярково	c23003
слобода-бешкиль	c47415
афонькино	c47417
шорохово	c47416
горьковка	c42575
абатское	c23004
каскара	c42577
солобоево	c42571
ситниково	c42573
усть-ламенка	c47601
черемшанка	c47603
бердюжье	c23007
першино	c85170
дубровное	c85171
новоалександровка	c85172
черемшанка	c85173
юрминка	c47396
заводопетровское	c47498
северо-плетнево	c47490
бердюгино	c47495
беркут	c47496
тугалово	c47547
калиновка	c47653
смирное	c47428
прииртышский	c42574
новоалександровка	c47424
новоселезнево	c47425
винзили	c40203
богандинский	c40202
туртас	c47548
комсомольский	c85169
красный яр	c85168
емуртла	c47618
кармацкая	c47386
малиновка	c47388
новокаишкуль	c47533
тюнево	c47439
покровское	c47536
велижаны	c47433
бухтал	c47432
усалка	c47539
иска	c47435
комсомольский	c84941
абалак	c47447
каменка	c47472
борки	c47470
першино	c47521
падун	c47520
сосновка	c47522
варвара	c47527
дубровное	c47529
гилево	c47528
тюмень	c55
яровское	c47430
ачиры	c47448
байкалово	c47449
шабаново	c47445
большой краснояр	c47442
чугунаево	c47441
салаирка	c47479
вагай	c85323
ишменево	c65473
иземеть	c65472
заводоуковск	c20647
боровский	c26334
новая заимка	c47518
горюново	c47514
хохлово	c47510
королево	c47594
исетское	c23001
демьянка	c23002
медведево	c47597
малая зоркальцева	c47459
армизонское	c23005
аромашево	c23006
земляная	c47593
викулово	c23008
голышманово	c23009
кутарбитка	c47457
булашово	c47451
старый кавдык	c47509
готопутово	c47650
патрушева	c42581
осиновка	c47655
червишево	c42584
лесной	c42586
ушаково	c42587
онохино	c42580
кулаково	c43829
перевалово	c42582
успенка	c42583
киева	c47502
супра	c47571
петелино	c47507
новоатьялово	c47505
андреевский	c47469
маслянский	c47581
надцы	c47460
нижние аремзяны	c47461
упорово	c23015
большое сорокино	c23014
омутинское	c23013
уват	c23012
нижняя тавда	c23011
казанское	c23010
зубарева	c85419
ильинка	c47423
новотарманский	c47477
нариманова	c47476
мальково	c47474
ялуторовск	c11178
ембаево	c47471
сладково	c21119
тобольск	c11175
ушакова	c85993
ишим	c11173
одино	c47626
пятково	c47627
масали	c47624
ингалинское	c47620
коркино	c47621
черное	c47574
суерка	c47629
юргинское	c23016
московский	c42579
нижегородская область	r11079
сосновское	c22373
княгинино	c20043
шатки	c22382
чкаловск	c20053
воскресенское	c22358
балахна	c20035
урень	c20052
вад	c22349
семёнов	c20050
сергач	c20051
уразовка	c22380
шаранга	c22381
шахунья	c20054
пурех	c69407
мухтолово	c22366
починки	c22367
красные баки	c22364
фролищи	c22365
ильино	c22362
богоявление	c22345
дальнее константиново	c22360
большое мурашкино	c22347
ветлуга	c20038
володарск	c20039
макарьево	c22344
дзержинск	c972
таремское	c66593
чистое	c69410
гагино	c21711
сатис	c20258
нижний новгород	c23243
богородск	c20036
бор	c20037
кулебаки	c20045
вознесенское	c26297
спасское	c22374
память парижской коммуны	c69334
дивеево	c22361
саконы	c22369
воротынец	c22357
ворсма	c22356
ковернино	c22363
вача	c22354
пижма	c22353
вахтан	c22352
поздняково	c56829
новосмолинский	c11081
работки	c22368
ардатов	c20611
арзамас	c11080
саров	c11083
павлово	c11082
городец	c20041
ильиногорск	c42361
перевоз	c20609
заволжье	c20042
ужовка	c22379
кстово	c20044
пильна	c22881
лукоянов	c20046
первомайск	c20049
навашино	c20048
тоншаево	c22377
тонкино	c22376
сеченово	c22370
большое болдино	c22346
сокольское	c22372
желнино	c43958
бутурлино	c22348
семьяны	c24169
гремячево	c69421
новый усад	c56820
выкса	c20040
белавка	c23790
бриляково	c56634
сява	c22375
ветлужский	c28431
водоватово	c56817
филинское	c66620
выездное	c66627
линда	c42358
смолино	c24178
лысково	c20047
ломовка	c56818
республика марий эл	r11077
морки	c21972
коротни	c21970
мари-турек	c21971
сернур	c21976
юрино	c21977
верх-ушнур	c66889
параньга	c21975
красногорский	c21978
кокшайск	c21979
козьмодемьянск	c20630
студенка	c24233
помары	c85415
медведево	c26351
килемары	c21969
визимьяры	c21968
шелангер	c42483
суслонгер	c42482
силикатный	c85977
советский	c20642
звенигово	c20627
волжск	c20721
йошкар-ола	c41
шойбулак	c66843
куженер	c21982
новый торъял	c21981
оршанка	c21980
сидельниково	c24173
кировская область	r11070
советск	c11074
яранск	c11075
быстрица	c59506
пиштань	c69767
кирово-чепецк	c11071
лянгасово	c11072
слободской	c11073
вожгалы	c59405
вичевщина	c59404
гирсово	c59648
мурыгино	c42478
юрья	c22730
пещера	c59366
нема	c22720
ленинская искра	c59705
песковка	c59492
торфяной	c59515
кузнецы	c59521
кстинино	c59687
вахруши	c42474
великорецкое	c59645
вишкиль	c59697
белая холуница	c20019
уржум	c20030
нижнеивкино	c42473
стрижи	c42476
лебяжье	c22715
адышево	c59505
боровка	c59696
даниловка	c23874
каринторф	c33191
истобенск	c59508
ныр	c59596
сосновка	c24531
верхошижемье	c22709
левинцы	c59511
медяны	c59651
уни	c22728
фалёнки	c22729
суна	c22726
тужа	c22727
санчурск	c22724
свеча	c22725
оричи	c22722
пижанка	c22723
арбаж	c22706
опарино	c22721
нолинск	c20027
мураши	c20026
малмыж	c20025
луза	c20024
котельнич	c20023
кирс	c20022
зуевка	c20021
вятские поляны	c20020
коршик	c59509
афанасьево	c22707
рудничный	c59368
орлов	c20029
омутнинск	c20028
светлополянск	c59369
киров	c46
речной	c59410
пасегово	c42472
черная холуница	c59494
первомайский	c39513
ленинское	c22717
подосиновец	c22716
бурмакино	c59685
лальск	c22714
кумены	c22713
кильмезь	c22712
кикнур	c22711
даровской	c22710
богородское	c22708
нагорск	c22719
донецкая область	r20536
санкт-петербург и ленинградская область	r10174
кузьмолово	c43579
поселок станции громово	c85074
отрадное	c85077
поселок станции отрадное	c85076
колосково	c85071
ефимовский	c24509
поселок ж/д станции лосево	c85072
выборное	c73027
кротово	c73026
синёво	c73025
зеленогорск	c24507
большая ижора	c43678
фёдоровское	c43675
лесогорский	c24508
котельский	c85981
песочный	c85070
волхов	c10864
всеволожск	c10865
гатчина	c10867
большой двор	c85145
рябово	c85144
верево	c10862
волосово	c10863
мичуринское	c55165
ивангород	c10868
каменногорск	c10869
каложицы	c55003
судаково	c73024
заборье	c26513
петергоф	c24506
паша	c43562
молодёжное	c85046
бугры	c43566
новая ладога	c24513
кирилловское	c85049
колпино	c24510
кронштадт	c24517
шлиссельбург	c24516
вознесенье	c24515
сясьстрой	c24514
кикерино	c26512
тихвин	c10892
кузнечное	c10873
кировск	c10872
кириши	c10871
кингисепп	c10870
никольское	c10877
луга	c10876
ломоносов	c10875
лодейное поле	c10874
пикалёво	c10879
отрадное	c10878
коробицыно	c55034
высоцк	c28799
межозерный	c85343
черновское	c55134
кусино	c43657
колчаново	c43559
косколово	c43651
серово	c85057
сергиево	c85056
черкасово	c85054
ушково	c85051
павлово	c43658
глебычево	c26577
починок	c43700
селиваново	c55020
елизаветино	c26579
сиверский	c26578
осьмино	c55104
вещево	c85457
мшинская	c55101
сланцы	c10888
советский	c10889
светогорск	c10886
сертолово	c10887
бабино	c85459
рощино	c10885
приморск	c10882
приозерск	c10883
подпорожье	c10881
дружная горка	c85284
возрождение	c85281
первомайское	c43622
будогощь	c26515
лосево	c43621
рябово	c43627
копорье	c41324
дубровка	c41327
приладожский	c26516
семрино	c55057
прибытково	c55055
новосаратовка	c85628
мяглово	c43589
павловск	c41320
лебяжье	c41336
стрельна	c41337
котлы	c41334
усть-луга	c41335
молосковицы	c41332
посёлок станции веймарн	c41333
кобралово	c41330
толмачево	c41331
репино	c26461
свирьстрой	c26463
мозолево-1	c54988
сосновый бор	c10891
сосново	c10890
тосно	c10893
выборг	c969
овино	c85118
запорожское	c85119
лебяжье	c85117
терволово	c85137
каннельярви	c73117
юшково	c85111
петро-славянка	c85336
металлострой	c85337
глобицы	c85334
ропша	c85335
винницы	c24512
зимитицы	c55001
бокситогорск	c10861
усть-ижора	c85338
поляны	c55040
сестрорецк	c26200
васкелово	c41325
вырица	c26514
назия	c26517
понтонный	c41326
токсово	c21147
сапёрный	c85629
красное село	c41323
оредеж	c41322
мельниково	c27020
жабино	c85627
горы	c41328
петровское	c55166
раздолье	c55167
ларионово	c55164
любань	c21023
коммунары	c55162
кривко	c55163
сельцо	c43555
ромашки	c55168
старая ладога	c85324
кисельня	c43557
пески	c86000
янино-1	c85970
бегуницы	c26445
санкт-петербург	c2
комарово	c85978
солнечное	c85979
ижора	c39489
поселок имени морозова	c41311
рахья	c41312
грузино	c41313
бородинское	c41314
ермилово	c41315
приветнинское	c41316
белоостров	c41317
мга	c41318
шапки	c41319
коммунар	c21666
важины	c85138
суходолье	c55170
потанино	c55017
аннино	c85130
выра	c85131
рождествено	c85132
никольское	c85133
войсковицы	c85134
пудость	c85135
тайцы	c85136
новоселье	c85966
гаврилово	c43615
сапёрное	c43701
лисий нос	c41338
санино	c43695
красноозёрное	c43699
ушаки	c85968
новое девяткино	c43591
громово	c43698
разметелево	c43596
скотное	c43598
александровская	c85087
красный бор	c85128
шугозеро	c55147
смолячково	c85062
синявино	c43661
кудрово	c43578
сомино	c54996
мурино	c43588
большая вруда	c54999
шамокша	c55090
бабино-2	c85460
кузьмоловский	c85461
трубников бор	c55153
пушкин	c10884
оренбургская область	r11084
пономаревка	c22414
чеганлы	c57357
шарлык	c22411
ташла	c22412
благословенка	c57296
акбулак	c21716
соль-илецк	c11094
красноярский	c56955
первомайский	c11092
саракташ	c11093
новотроицк	c11090
орск	c11091
кваркено	c21719
мустафино	c57226
новоалександровка	c57374
кармалка	c57224
северное	c22407
заглядино	c66640
тоцкое	c20254
воздвиженка	c57091
краснохолм	c21718
дюсметьево	c57093
ефремово-зыково	c57094
платовка	c66643
тюльган	c21712
абдулино	c20031
медногорск	c20032
сорочинск	c20033
ясный	c20034
илек	c21717
белозерка	c57040
домбаровский	c21715
буланово	c57043
нижняя павловка	c57306
переволоцкий	c21713
александровка	c26298
матвеевка	c26299
биккулово	c57041
державино	c57361
новоникитино	c56849
октябрьское	c22403
старокутлумбетьево	c57006
марьевка	c57049
колтубановский	c22408
новосергиевка	c11089
кувандык	c11088
асекеево	c22405
курманаевка	c22404
бугуруслан	c11085
каргала	c57305
гай	c11087
бузулук	c11086
перовка	c57230
камыш-садак	c57349
сакмара	c21721
новоорск	c21720
сарманай	c57234
троицкое	c57213
юзеево	c57237
абдрахманово	c57341
село имени 9-го января	c85407
светлый	c20600
репьевка	c57211
адамовка	c22401
зеркло	c57219
кирсаново	c57186
искра	c57348
оренбург	c48
ратчино	c57233
новоникольское	c56850
грачевка	c22409
ненецкий автономный округ	r10176
усть-кара	c26276
белушья губа	c27988
варандей	c29435
индига	c40066
амдерма	c10903
нарьян-мар	c10902
харьягинский	c26525
свердловская область	r11162
волковское	c84763
афанасьевское	c48222
сылва	c48206
галкинское	c48358
алапаевск	c20695
посёлок таватуй	c84798
красноуфимск	c20691
новоисетское	c48328
колчедан	c48326
калья	c84910
усть-салда	c48324
луговской	c43845
косулино	c43842
валериановск	c43963
байны	c43841
марийские карши	c48232
нижний арий	c48233
акбаш	c48284
атиг	c48286
горноуральский	c41930
натальинск	c41933
тыгиш	c84772
большебрусянское	c48238
бруснятское	c48239
северная	c48269
русский потам	c48234
уфимский	c48235
ялым	c48236
белореченский	c48237
верхний тагил	c21370
ключ	c48231
верхотурье	c20605
кировград	c20604
монетный	c43996
нижняя салда	c20687
тавда	c20685
реж	c20684
нижнеиргинское	c48335
приданниково	c48337
подгорная	c48336
деево	c84840
квашнинское	c48361
мезенское	c48244
верхняя тура	c24474
висим	c24475
уралец	c24476
красный яр	c23191
шамары	c24478
большой исток	c24479
нижний катарач	c48192
кирга	c84931
заря	c48228
дегтярск	c22108
быково	c48225
ачит	c22106
бисерть	c22107
байкалово	c22104
туринская слобода	c22105
артёмовский	c22102
шаля	c22103
таборы	c22100
рефтинский	c22101
коркинское	c48309
татарская еманзельга	c48344
ницинское	c48301
североуральск	c20672
билимбай	c42650
новоалексеевское	c42651
усть-югуш	c48266
ивдель	c20703
полевской	c21726
среднеуральск	c21725
туринск	c20705
лобва	c26212
кордюково	c48319
карпинск	c20669
изумруд	c43848
пристань	c48259
нижний бардым	c48256
камышлов	c20664
манчаж	c48255
курки	c48252
красноуральск	c20660
бараба	c48250
чупина	c84826
елань	c48157
городище	c48156
зауфа	c84792
покровское	c48153
красногвардейский	c48152
бобровский	c20262
краснополянское	c48158
исеть	c42661
рудничный	c42649
сосновый бор	c42648
трифоново	c48214
кочневское	c48241
тупицыно	c48215
верхние серги	c42647
курьи	c42646
акинфиево	c84892
куровское	c48362
марсяты	c48353
михайловск	c24477
верх-нейвинский	c39496
буланаш	c43832
висимо-уткинск	c65555
заречный	c20657
верхняя сысерть	c84819
озёрный	c85315
сухой лог	c20256
екатеринбург	c54
азигулово	c48249
черноусово	c48248
некрасово	c48245
студенческий	c48247
невьянск	c20654
малобрусянское	c48243
логиново	c48242
карги	c48229
катарач	c48187
патруши	c43834
щелкун	c43837
трехозерная	c48197
сысерть	c20595
большое пульниково	c48356
чернореченск	c84880
березовский	c24481
малышева	c41378
двуреченск	c24482
волчанск	c22093
речелга	c84805
верхняя пышма	c20720
чувашково	c48346
свердловское	c48261
совхозный	c43844
буткинское озеро	c48180
завьяловское	c48185
бутка	c48179
басмановское	c48178
казаковское	c48186
карабашка	c48171
симинчи	c48262
нелоба	c84775
верхняя синячиха	c41383
верхнее дуброво	c41382
романово	c48354
староуткинск	c41380
сажино	c48260
чупино	c48219
малая тавра	c48253
вновь-юрмытское	c48183
усть-манчаж	c48265
новая ляля	c20636
восточный	c48349
нижний тагил	c11168
нижняя тура	c11169
кушва	c11166
лесной	c11167
каменск-уральский	c11164
краснотурьинск	c11165
сарана	c48340
ирбит	c11163
асбест	c11160
верхняя салда	c11161
юва	c48347
покровское	c85089
пелым	c26538
нейво-шайтанский	c26537
верх-тиса	c48227
верхний потам	c48226
качканар	c20234
дружинино	c22916
богданович	c20233
карпунинский	c84781
большой ут	c48224
катырева	c48230
шурала	c65554
криулино	c43847
кокуй	c48188
пылаева	c48212
кузнецовский	c48190
черёмухово	c43839
троицкий	c43838
нижние серги	c20624
средний бугалыш	c48342
смолинское	c48196
кашино	c43833
яр	c48198
четкарино	c48218
кошай	c48350
первоуральск	c11171
новоуральск	c11170
серов	c11172
белоярский	c20579
сосьва	c22092
махнёво	c41379
арамиль	c22095
свободный	c22096
арти	c22097
тугулым	c22098
пышма	c22099
бакряж	c48223
яр	c85159
комсомольский	c48189
оус	c84868
красногорское	c84782
талица	c20225
ревда	c20224
сызги	c48343
шокурово	c48296
бобровское	c48297
тюльгаш	c48294
пензенская область	r11095
березовка	c57525
пяша	c57435
заречный	c11098
каменка	c11099
нижний ломов	c11104
бессоновка	c11097
сердобск	c11106
царевщино	c57567
колышлей	c11100
кузнецк	c11101
лунино	c11102
